Enlace,Periodo,Cap,Real,Img
MAZ-DUR,14.__2034,0.00,0.00,0.00
MAZ-DUR,15.__2035,0.00,0.00,0.00
MAZ-DUR,16.__2036,0.00,0.00,0.00
MAZ-DUR,17.__2037,0.00,0.00,0.00
MAZ-DUR,18.__2038,0.00,0.00,0.00
MAZ-DUR,19.__2039,0.00,0.00,0.00
MAZ-DUR,20.__2040,0.00,0.00,0.00
MAZ-DUR,21.__2041,0.00,0.00,0.00
MAZ-TEP,01.__2021,"1,177.00",0.00,0.03
MAZ-TEP,02.__2022,73.00,2.35,310.41
MAZ-TEP,03.__2023,0.00,0.00,0.00
MAZ-TEP,04.__2024,162.00,2.35,310.41
MAZ-TEP,05.__2025,0.00,0.00,0.00
MAZ-TEP,06.__2026,603.00,0.00,0.06
MAZ-TEP,07.__2027,0.00,0.00,0.00
MAZ-TEP,08.__2028,0.00,0.00,0.00
MAZ-TEP,09.__2029,0.00,0.00,0.00
MAZ-TEP,10.__2030,0.00,0.00,0.00
MAZ-TEP,11.__2031,0.00,0.00,0.00
MAZ-TEP,12.__2032,0.00,0.00,0.00
MAZ-TEP,13.__2033,0.00,0.00,0.00
MAZ-TEP,14.__2034,0.00,0.00,0.00
MAZ-TEP,15.__2035,0.00,0.00,0.00
MAZ-TEP,16.__2036,0.00,0.00,0.00
MAZ-TEP,17.__2037,0.00,0.00,0.00
MAZ-TEP,18.__2038,0.00,0.00,0.00
MAZ-TEP,19.__2039,0.00,0.00,0.00
MAZ-TEP,20.__2040,0.00,0.00,0.00
MAZ-TEP,21.__2041,0.00,0.00,0.00
MERI-CHET,01.__2021,135.00,0.03,0.17
MERI-CHET,02.__2022,0.00,0.00,0.00
MERI-CHET,03.__2023,0.00,0.00,0.00
MERI-CHET,04.__2024,0.00,0.00,0.00
MERI-CHET,05.__2025,0.00,0.00,0.00
MERI-CHET,06.__2026,0.10,3.02,8.90
MERI-CHET,07.__2027,0.00,0.00,0.00
MERI-CHET,08.__2028,0.00,0.00,0.00
MERI-CHET,09.__2029,0.00,0.00,0.00
MERI-CHET,10.__2030,0.00,0.00,0.00
MERI-CHET,11.__2031,0.00,0.00,0.00
MERI-CHET,12.__2032,0.00,0.00,0.00
MERI-CHET,13.__2033,0.00,0.00,0.00
MERI-CHET,14.__2034,0.00,0.00,0.00
MERI-CHET,15.__2035,0.00,0.00,0.00
MERI-CHET,16.__2036,0.00,0.00,0.00
MERI-CHET,17.__2037,0.00,0.00,0.00
MERI-CHET,18.__2038,0.00,0.00,0.00
MERI-CHET,19.__2039,0.00,0.00,0.00
MERI-CHET,20.__2040,0.00,0.00,0.00
MERI-CHET,21.__2041,0.00,0.00,0.00
MERI-DZT,01.__2021,450.00,0.00,0.02
MERI-DZT,02.__2022,0.00,0.00,0.00
MERI-DZT,03.__2023,0.00,0.00,0.00
MERI-DZT,04.__2024,50.00,1.38,173.90
MERI-DZT,05.__2025,0.00,0.00,0.00
MERI-DZT,06.__2026,0.00,0.00,0.00
MERI-DZT,07.__2027,0.00,0.00,0.00
MERI-DZT,08.__2028,0.00,0.00,0.00
MERI-DZT,09.__2029,0.00,0.00,0.00
MERI-DZT,10.__2030,0.00,0.00,0.00
MERI-DZT,11.__2031,0.00,0.00,0.00
MERI-DZT,12.__2032,0.00,0.00,0.00
MERI-DZT,13.__2033,0.00,0.00,0.00
MERI-DZT,14.__2034,0.00,0.00,0.00
MERI-DZT,15.__2035,0.00,0.00,0.00
MERI-DZT,16.__2036,0.00,0.00,0.00
MERI-DZT,17.__2037,0.00,0.00,0.00
MERI-DZT,18.__2038,0.00,0.00,0.00
MERI-DZT,19.__2039,0.00,0.00,0.00
MERI-DZT,20.__2040,0.00,0.00,0.00
MERI-DZT,21.__2041,0.00,0.00,0.00
MERI-VALLA,01.__2021,280.00,0.01,0.05
MERI-VALLA,02.__2022,0.00,0.00,0.00
MERI-VALLA,03.__2023,0.00,0.00,0.00
MERI-VALLA,04.__2024,0.00,0.00,0.00
MERI-VALLA,05.__2025,0.00,0.00,0.00
MERI-VALLA,06.__2026,0.00,0.00,0.00
MERI-VALLA,07.__2027,0.00,0.00,0.00
MERI-VALLA,08.__2028,0.00,0.00,0.00
MERI-VALLA,09.__2029,0.00,0.00,0.00
MERI-VALLA,10.__2030,0.00,0.00,0.00
MERI-VALLA,11.__2031,0.00,0.00,0.00
MERI-VALLA,12.__2032,0.00,0.00,0.00
MERI-VALLA,13.__2033,0.00,0.00,0.00
MERI-VALLA,14.__2034,0.00,0.00,0.00
MERI-VALLA,15.__2035,0.00,0.00,0.00
MERI-VALLA,16.__2036,0.00,0.00,0.00
MERI-VALLA,17.__2037,0.00,0.00,0.00
MERI-VALLA,18.__2038,0.00,0.00,0.00
MERI-VALLA,19.__2039,0.00,0.00,0.00
MERI-VALLA,20.__2040,0.00,0.00,0.00
MERI-VALLA,21.__2041,0.00,0.00,0.00
MOCT-CHIH,01.__2021,940.00,0.00,0.03
MOCT-CHIH,02.__2022,0.00,0.00,0.00
MOCT-CHIH,03.__2023,0.00,0.00,0.00
MOCT-CHIH,04.__2024,0.00,0.00,0.00
MOCT-CHIH,05.__2025,0.00,0.00,0.00
MOCT-CHIH,06.__2026,0.00,0.00,0.00
MOCT-CHIH,07.__2027,0.00,0.00,0.00
MOCT-CHIH,08.__2028,0.00,0.00,0.00
MOCT-CHIH,09.__2029,0.00,0.00,0.00
MOCT-CHIH,10.__2030,0.00,0.00,0.00
MOCT-CHIH,11.__2031,0.00,0.00,0.00
MOCT-CHIH,12.__2032,0.00,0.00,0.00
MOCT-CHIH,13.__2033,0.00,0.00,0.00
MOCT-CHIH,14.__2034,0.00,0.00,0.00
MOCT-CHIH,15.__2035,0.00,0.00,0.00
MOCT-CHIH,16.__2036,0.00,0.00,0.00
MOCT-CHIH,17.__2037,0.00,0.00,0.00
MOCT-CHIH,18.__2038,0.00,0.00,0.00
MOCT-CHIH,19.__2039,0.00,0.00,0.00
MOCT-CHIH,20.__2040,0.00,0.00,0.00
MOCT-CHIH,21.__2041,0.00,0.00,0.00
MOCT-JUA,01.__2021,950.00,0.00,0.03
MOCT-JUA,02.__2022,0.00,0.00,0.00
MOCT-JUA,03.__2023,0.00,0.00,0.00
MOCT-JUA,04.__2024,0.00,0.00,0.00
MOCT-JUA,05.__2025,0.00,0.00,0.00
MOCT-JUA,06.__2026,0.00,0.00,0.00
MOCT-JUA,07.__2027,0.00,0.00,0.00
MOCT-JUA,08.__2028,0.00,0.00,0.00
MOCT-JUA,09.__2029,0.00,0.00,0.00
MOCT-JUA,10.__2030,0.00,0.00,0.00
MOCT-JUA,11.__2031,0.00,0.00,0.00
MOCT-JUA,12.__2032,0.00,0.00,0.00
MOCT-JUA,13.__2033,0.00,0.00,0.00
MOCT-JUA,14.__2034,0.00,0.00,0.00
MOCT-JUA,15.__2035,0.00,0.00,0.00
MOCT-JUA,16.__2036,0.00,0.00,0.00
MOCT-JUA,17.__2037,0.00,0.00,0.00
MOCT-JUA,18.__2038,0.00,0.00,0.00
MOCT-JUA,19.__2039,0.00,0.00,0.00
MOCT-JUA,20.__2040,0.00,0.00,0.00
MOCT-JUA,21.__2041,0.00,0.00,0.00
MOCT-NVOC,01.__2021,480.00,0.00,0.03
MOCT-NVOC,02.__2022,0.00,0.00,0.00
MOCT-NVOC,03.__2023,0.00,0.00,0.00
MOCT-NVOC,04.__2024,120.00,4.31,309.11
MOCT-NVOC,05.__2025,0.00,0.00,0.00
MOCT-NVOC,06.__2026,0.00,0.00,0.00
MOCT-NVOC,07.__2027,0.00,0.00,0.00
MOCT-NVOC,08.__2028,0.00,0.00,0.00
MOCT-NVOC,09.__2029,0.00,0.00,0.00
MOCT-NVOC,10.__2030,0.00,0.00,0.00
MOCT-NVOC,11.__2031,0.00,0.00,0.00
MOCT-NVOC,12.__2032,0.00,0.00,0.00
MOCT-NVOC,13.__2033,0.00,0.00,0.00
MOCT-NVOC,14.__2034,0.00,0.00,0.00
MOCT-NVOC,15.__2035,0.00,0.00,0.00
MOCT-NVOC,16.__2036,0.00,0.00,0.00
MOCT-NVOC,17.__2037,0.00,0.00,0.00
MOCT-NVOC,18.__2038,0.00,0.00,0.00
MOCT-NVOC,19.__2039,0.00,0.00,0.00
MOCT-NVOC,20.__2040,0.00,0.00,0.00
MOCT-NVOC,21.__2041,0.00,0.00,0.00
MOCH-CUL,01.__2021,"1,675.00",0.00,0.01
MOCH-CUL,02.__2022,0.00,0.00,0.00
MOCH-CUL,03.__2023,113.00,0.05,0.58
MOCH-CUL,04.__2024,0.00,0.00,0.00
MOCH-CUL,05.__2025,0.00,0.00,0.00
MOCH-CUL,06.__2026,787.00,0.00,0.05
MOCH-CUL,07.__2027,0.00,0.00,0.00
MOCH-CUL,08.__2028,0.00,0.00,0.00
MOCH-CUL,09.__2029,0.00,0.00,0.00
MOCH-CUL,10.__2030,0.00,0.00,0.00
MOCH-CUL,11.__2031,0.00,0.00,0.00
MOCH-CUL,12.__2032,0.00,0.00,0.00
MOCH-CUL,13.__2033,0.00,0.00,0.00
MOCH-CUL,14.__2034,0.00,0.00,0.00
MOCH-CUL,15.__2035,0.00,0.00,0.00
MOCH-CUL,16.__2036,0.00,0.00,0.00
MOCH-CUL,17.__2037,0.00,0.00,0.00
MOCH-CUL,18.__2038,0.00,0.00,0.00
MOCH-CUL,19.__2039,0.00,0.00,0.00
MOCH-CUL,20.__2040,0.00,0.00,0.00
MOCH-CUL,21.__2041,0.00,0.00,0.00
MON-GUEZ,01.__2021,"1,500.00",0.00,0.02
MON-GUEZ,02.__2022,0.00,0.00,0.00
MON-GUEZ,03.__2023,0.00,0.00,0.00
MON-GUEZ,04.__2024,300.00,0.00,0.05
MON-GUEZ,05.__2025,0.00,0.00,0.00
MON-GUEZ,06.__2026,0.00,0.00,0.00
MON-GUEZ,07.__2027,0.00,0.00,0.00
MON-GUEZ,08.__2028,0.00,0.00,0.00
MON-GUEZ,09.__2029,0.00,0.00,0.00
MON-GUEZ,10.__2030,0.00,0.00,0.00
MON-GUEZ,11.__2031,0.00,0.00,0.00
MON-GUEZ,12.__2032,0.00,0.00,0.00
MON-GUEZ,13.__2033,0.00,0.00,0.00
MON-GUEZ,14.__2034,0.00,0.00,0.00
MON-GUEZ,15.__2035,0.00,0.00,0.00
MON-GUEZ,16.__2036,0.00,0.00,0.00
MON-GUEZ,17.__2037,0.00,0.00,0.00
MON-GUEZ,18.__2038,0.00,0.00,0.00
MON-GUEZ,19.__2039,0.00,0.00,0.00
MON-GUEZ,20.__2040,0.00,0.00,0.00
MON-GUEZ,21.__2041,0.00,0.00,0.00
MON-REY,01.__2021,"2,070.00",0.00,0.02
MON-REY,02.__2022,0.00,0.00,0.00
MON-REY,03.__2023,155.00,1.32,153.23
MON-REY,04.__2024,0.00,0.00,0.00
MON-REY,05.__2025,0.00,0.00,0.00
MON-REY,06.__2026,0.00,0.00,0.00
MON-REY,07.__2027,0.00,0.00,0.00
MON-REY,08.__2028,925.00,0.00,0.04
MON-REY,09.__2029,0.00,0.00,0.00
MON-REY,10.__2030,0.00,0.00,0.00
MON-REY,11.__2031,0.00,0.00,0.00
MON-REY,12.__2032,0.00,0.00,0.00
MON-REY,13.__2033,0.00,0.00,0.00
MON-REY,14.__2034,0.00,0.00,0.00
MON-REY,15.__2035,0.00,0.00,0.00
MON-REY,16.__2036,0.00,0.00,0.00
MON-REY,17.__2037,0.00,0.00,0.00
MON-REY,18.__2038,0.00,0.00,0.00
MON-REY,19.__2039,0.00,0.00,0.00
MON-REY,20.__2040,0.00,0.00,0.00
MON-REY,21.__2041,0.00,0.00,0.00
MON-RIO,01.__2021,"2,100.00",0.00,0.01
MON-RIO,02.__2022,0.00,0.00,0.00
MON-RIO,03.__2023,0.00,0.00,0.00
MON-RIO,04.__2024,0.00,0.00,0.00
MON-RIO,05.__2025,0.00,0.00,0.00
MON-RIO,06.__2026,0.00,0.00,0.00
MON-RIO,07.__2027,0.00,0.00,0.00
MON-RIO,08.__2028,0.00,0.00,0.00
MON-RIO,09.__2029,0.00,0.00,0.00
MON-RIO,10.__2030,0.00,0.00,0.00
MON-RIO,11.__2031,0.00,0.00,0.00
MON-RIO,12.__2032,0.00,0.00,0.00
MON-RIO,13.__2033,0.00,0.00,0.00
MON-RIO,14.__2034,0.00,0.00,0.00
MON-RIO,15.__2035,0.00,0.00,0.00
MON-RIO,16.__2036,0.00,0.00,0.00
MON-RIO,17.__2037,0.00,0.00,0.00
MON-RIO,18.__2038,0.00,0.00,0.00
MON-RIO,19.__2039,0.00,0.00,0.00
MON-RIO,20.__2040,0.00,0.00,0.00
MON-RIO,21.__2041,0.00,0.00,0.00
MON-SALT,01.__2021,"2,800.00",0.00,0.00
MON-SALT,02.__2022,0.00,0.00,0.00
MON-SALT,03.__2023,0.00,0.00,0.00
MON-SALT,04.__2024,0.00,0.00,0.00
MON-SALT,05.__2025,0.00,0.00,0.00
MON-SALT,06.__2026,0.00,0.00,0.00
MON-SALT,07.__2027,0.00,0.00,0.00
MON-SALT,08.__2028,0.00,0.00,0.00
MON-SALT,09.__2029,0.00,0.00,0.00
MON-SALT,10.__2030,0.00,0.00,0.00
MON-SALT,11.__2031,0.00,0.00,0.00
MON-SALT,12.__2032,0.00,0.00,0.00
MON-SALT,13.__2033,0.00,0.00,0.00
MON-SALT,14.__2034,0.00,0.00,0.00
MON-SALT,15.__2035,0.00,0.00,0.00
MON-SALT,16.__2036,0.00,0.00,0.00
MON-SALT,17.__2037,0.00,0.00,0.00
MON-SALT,18.__2038,0.00,0.00,0.00
MON-SALT,19.__2039,0.00,0.00,0.00
MON-SALT,20.__2040,0.00,0.00,0.00
MON-SALT,21.__2041,0.00,0.00,0.00
MORE-ACAP,01.__2021,290.00,0.01,0.06
MORE-ACAP,02.__2022,0.00,0.00,0.00
MORE-ACAP,03.__2023,0.00,0.00,0.00
MORE-ACAP,04.__2024,0.00,0.00,0.00
MORE-ACAP,05.__2025,0.00,0.00,0.00
MORE-ACAP,06.__2026,0.00,0.00,0.00
MORE-ACAP,07.__2027,0.00,0.00,0.00
MORE-ACAP,08.__2028,0.00,0.00,0.00
MORE-ACAP,09.__2029,0.00,0.00,0.00
MORE-ACAP,10.__2030,0.00,0.00,0.00
MORE-ACAP,11.__2031,0.00,0.00,0.00
MORE-ACAP,12.__2032,0.00,0.00,0.00
MORE-ACAP,13.__2033,0.00,0.00,0.00
MORE-ACAP,14.__2034,0.00,0.00,0.00
MORE-ACAP,15.__2035,0.00,0.00,0.00
MORE-ACAP,16.__2036,0.00,0.00,0.00
MORE-ACAP,17.__2037,0.00,0.00,0.00
MORE-ACAP,18.__2038,0.00,0.00,0.00
MORE-ACAP,19.__2039,0.00,0.00,0.00
MORE-ACAP,20.__2040,0.00,0.00,0.00
MORE-ACAP,21.__2041,0.00,0.00,0.00
MORE-PUEB,01.__2021,"1,350.00",0.00,0.01
MORE-PUEB,02.__2022,0.00,0.00,0.00
MORE-PUEB,03.__2023,0.00,0.00,0.00
MORE-PUEB,04.__2024,0.00,0.00,0.00
MORE-PUEB,05.__2025,0.00,0.00,0.00
MORE-PUEB,06.__2026,0.00,0.00,0.00
MORE-PUEB,07.__2027,0.00,0.00,0.00
MORE-PUEB,08.__2028,0.00,0.00,0.00
MORE-PUEB,09.__2029,0.00,0.00,0.00
MORE-PUEB,10.__2030,0.00,0.00,0.00
MORE-PUEB,11.__2031,0.00,0.00,0.00
MORE-PUEB,12.__2032,0.00,0.00,0.00
MORE-PUEB,13.__2033,0.00,0.00,0.00
MORE-PUEB,14.__2034,0.00,0.00,0.00
MORE-PUEB,15.__2035,0.00,0.00,0.00
MORE-PUEB,16.__2036,0.00,0.00,0.00
MORE-PUEB,17.__2037,0.00,0.00,0.00
MORE-PUEB,18.__2038,0.00,0.00,0.00
MORE-PUEB,19.__2039,0.00,0.00,0.00
MORE-PUEB,20.__2040,0.00,0.00,0.00
MORE-PUEB,21.__2041,0.00,0.00,0.00
MORE-TOLU,01.__2021,82.00,0.01,0.04
MORE-TOLU,02.__2022,0.00,0.00,0.00
MORE-TOLU,03.__2023,0.00,0.00,0.00
MORE-TOLU,04.__2024,0.00,0.00,0.00
MORE-TOLU,05.__2025,0.00,0.00,0.00
MORE-TOLU,06.__2026,0.00,0.00,0.00
MORE-TOLU,07.__2027,0.00,0.00,0.00
MORE-TOLU,08.__2028,0.00,0.00,0.00
MORE-TOLU,09.__2029,0.00,0.00,0.00
MORE-TOLU,10.__2030,0.00,0.00,0.00
MORE-TOLU,11.__2031,0.00,0.00,0.00
MORE-TOLU,12.__2032,0.00,0.00,0.00
MORE-TOLU,13.__2033,0.00,0.00,0.00
MORE-TOLU,14.__2034,0.00,0.00,0.00
MORE-TOLU,15.__2035,0.00,0.00,0.00
MORE-TOLU,16.__2036,0.00,0.00,0.00
MORE-TOLU,17.__2037,0.00,0.00,0.00
MORE-TOLU,18.__2038,0.00,0.00,0.00
MORE-TOLU,19.__2039,0.00,0.00,0.00
MORE-TOLU,20.__2040,0.00,0.00,0.00
MORE-TOLU,21.__2041,0.00,0.00,0.00
MROP-COAT,01.__2021,110.00,0.06,0.20
MROP-COAT,02.__2022,0.00,0.00,0.00
MROP-COAT,03.__2023,0.00,0.00,0.00
MROP-COAT,04.__2024,0.00,0.00,0.00
MROP-COAT,05.__2025,0.00,0.00,0.00
MROP-COAT,06.__2026,0.00,0.00,0.00
MROP-COAT,07.__2027,0.00,0.00,0.00
MROP-COAT,08.__2028,0.00,0.00,0.00
MROP-COAT,09.__2029,0.00,0.00,0.00
MROP-COAT,10.__2030,0.00,0.00,0.00
MROP-COAT,11.__2031,0.00,0.00,0.00
MROP-COAT,12.__2032,0.00,0.00,0.00
MROP-COAT,13.__2033,0.00,0.00,0.00
MROP-COAT,14.__2034,0.00,0.00,0.00
MROP-COAT,15.__2035,0.00,0.00,0.00
MROP-COAT,16.__2036,0.00,0.00,0.00
MROP-COAT,17.__2037,0.00,0.00,0.00
MROP-COAT,18.__2038,0.00,0.00,0.00
MROP-COAT,19.__2039,0.00,0.00,0.00
MROP-COAT,20.__2040,0.00,0.00,0.00
MROP-COAT,21.__2041,0.00,0.00,0.00
MROP-JUIL,01.__2021,353.00,0.00,0.04
MROP-JUIL,02.__2022,0.00,0.00,0.00
MROP-JUIL,03.__2023,0.00,0.00,0.00
MROP-JUIL,04.__2024,0.00,0.00,0.00
MROP-JUIL,05.__2025,0.00,0.00,0.00
MROP-JUIL,06.__2026,0.00,0.00,0.00
MROP-JUIL,07.__2027,0.00,0.00,0.00
MROP-JUIL,08.__2028,0.00,0.00,0.00
MROP-JUIL,09.__2029,0.00,0.00,0.00
MROP-JUIL,10.__2030,0.00,0.00,0.00
MROP-JUIL,11.__2031,0.00,0.00,0.00
MROP-JUIL,12.__2032,0.00,0.00,0.00
MROP-JUIL,13.__2033,0.00,0.00,0.00
MROP-JUIL,14.__2034,0.00,0.00,0.00
MROP-JUIL,15.__2035,0.00,0.00,0.00
MROP-JUIL,16.__2036,0.00,0.00,0.00
MROP-JUIL,17.__2037,0.00,0.00,0.00
MROP-JUIL,18.__2038,0.00,0.00,0.00
MROP-JUIL,19.__2039,0.00,0.00,0.00
MROP-JUIL,20.__2040,0.00,0.00,0.00
MROP-JUIL,21.__2041,0.00,0.00,0.00
NACO-CANA,01.__2021,535.00,0.00,0.03
NACO-CANA,02.__2022,0.00,0.00,0.00
NACO-CANA,03.__2023,0.00,0.00,0.00
NACO-CANA,04.__2024,0.00,0.00,0.00
NACO-CANA,05.__2025,0.00,0.00,0.00
NACO-CANA,06.__2026,0.00,0.00,0.00
NACO-CANA,07.__2027,0.00,0.00,0.00
NACO-CANA,08.__2028,0.00,0.00,0.00
NACO-CANA,09.__2029,0.00,0.00,0.00
NACO-CANA,10.__2030,0.00,0.00,0.00
NACO-CANA,11.__2031,0.00,0.00,0.00
NACO-CANA,12.__2032,0.00,0.00,0.00
NACO-CANA,13.__2033,0.00,0.00,0.00
NACO-CANA,14.__2034,0.00,0.00,0.00
NACO-CANA,15.__2035,0.00,0.00,0.00
NACO-CANA,16.__2036,0.00,0.00,0.00
NACO-CANA,17.__2037,0.00,0.00,0.00
NACO-CANA,18.__2038,0.00,0.00,0.00
NACO-CANA,19.__2039,0.00,0.00,0.00
NACO-CANA,20.__2040,0.00,0.00,0.00
NACO-CANA,21.__2041,0.00,0.00,0.00
NLAD-REY,01.__2021,140.00,0.04,0.13
NLAD-REY,02.__2022,0.00,0.00,0.00
NLAD-REY,03.__2023,0.00,0.00,0.00
NLAD-REY,04.__2024,0.00,0.00,0.00
NLAD-REY,05.__2025,0.00,0.00,0.00
NLAD-REY,06.__2026,0.00,0.00,0.00
NLAD-REY,07.__2027,0.00,0.00,0.00
NLAD-REY,08.__2028,0.00,0.00,0.00
NLAD-REY,09.__2029,0.00,0.00,0.00
NLAD-REY,10.__2030,0.00,0.00,0.00
NLAD-REY,11.__2031,0.00,0.00,0.00
NLAD-REY,12.__2032,0.00,0.00,0.00
NLAD-REY,13.__2033,0.00,0.00,0.00
NLAD-REY,14.__2034,0.00,0.00,0.00
NLAD-REY,15.__2035,0.00,0.00,0.00
NLAD-REY,16.__2036,0.00,0.00,0.00
NLAD-REY,17.__2037,0.00,0.00,0.00
NLAD-REY,18.__2038,0.00,0.00,0.00
NLAD-REY,19.__2039,0.00,0.00,0.00
NLAD-REY,20.__2040,0.00,0.00,0.00
NLAD-REY,21.__2041,0.00,0.00,0.00
NVOC-NACO,01.__2021,550.00,0.01,0.08
NVOC-NACO,02.__2022,0.00,0.00,0.00
NVOC-NACO,03.__2023,0.00,0.00,0.00
NVOC-NACO,04.__2024,97.00,6.05,762.00
NVOC-NACO,05.__2025,0.00,0.00,0.00
NVOC-NACO,06.__2026,0.00,0.00,0.00
NVOC-NACO,07.__2027,0.00,0.00,0.00
NVOC-NACO,08.__2028,0.00,0.00,0.00
NVOC-NACO,09.__2029,0.00,0.00,0.00
NVOC-NACO,10.__2030,0.00,0.00,0.00
NVOC-NACO,11.__2031,0.00,0.00,0.00
NVOC-NACO,12.__2032,0.00,0.00,0.00
NVOC-NACO,13.__2033,0.00,0.00,0.00
NVOC-NACO,14.__2034,0.00,0.00,0.00
NVOC-NACO,15.__2035,0.00,0.00,0.00
NVOC-NACO,16.__2036,0.00,0.00,0.00
NVOC-NACO,17.__2037,0.00,0.00,0.00
NVOC-NACO,18.__2038,0.00,0.00,0.00
NVOC-NACO,19.__2039,0.00,0.00,0.00
NVOC-NACO,20.__2040,0.00,0.00,0.00
NVOC-NACO,21.__2041,0.00,0.00,0.00
OAXA-ACAP,01.__2021,60.00,0.07,0.26
OAXA-ACAP,02.__2022,0.00,0.00,0.00
OAXA-ACAP,03.__2023,0.00,0.00,0.00
OAXA-ACAP,04.__2024,0.00,0.00,0.00
OAXA-ACAP,05.__2025,0.00,0.00,0.00
OAXA-ACAP,06.__2026,0.00,0.00,0.00
OAXA-ACAP,07.__2027,0.00,0.00,0.00
OAXA-ACAP,08.__2028,0.00,0.00,0.00
OAXA-ACAP,09.__2029,0.00,0.00,0.00
OAXA-ACAP,10.__2030,0.00,0.00,0.00
OAXA-ACAP,11.__2031,0.00,0.00,0.00
OAXA-ACAP,12.__2032,0.00,0.00,0.00
OAXA-ACAP,13.__2033,0.00,0.00,0.00
OAXA-ACAP,14.__2034,0.00,0.00,0.00
OAXA-ACAP,15.__2035,0.00,0.00,0.00
OAXA-ACAP,16.__2036,0.00,0.00,0.00
OAXA-ACAP,17.__2037,0.00,0.00,0.00
OAXA-ACAP,18.__2038,0.00,0.00,0.00
OAXA-ACAP,19.__2039,0.00,0.00,0.00
OAXA-ACAP,20.__2040,0.00,0.00,0.00
OAXA-ACAP,21.__2041,0.00,0.00,0.00
OBRE-GUAY,01.__2021,"1,500.00",0.00,0.01
OBRE-GUAY,02.__2022,0.00,0.00,0.00
OBRE-GUAY,03.__2023,0.00,0.00,0.00
OBRE-GUAY,04.__2024,100.00,0.89,99.13
OBRE-GUAY,05.__2025,0.00,0.00,0.00
OBRE-GUAY,06.__2026,0.00,0.00,0.00
OBRE-GUAY,07.__2027,0.00,0.00,0.00
OBRE-GUAY,08.__2028,0.00,0.00,0.00
OBRE-GUAY,09.__2029,0.00,0.00,0.00
OBRE-GUAY,10.__2030,0.00,0.00,0.00
OBRE-GUAY,11.__2031,0.00,0.00,0.00
OBRE-GUAY,12.__2032,0.00,0.00,0.00
OBRE-GUAY,13.__2033,0.00,0.00,0.00
OBRE-GUAY,14.__2034,0.00,0.00,0.00
OBRE-GUAY,15.__2035,0.00,0.00,0.00
OBRE-GUAY,16.__2036,0.00,0.00,0.00
OBRE-GUAY,17.__2037,0.00,0.00,0.00
OBRE-GUAY,18.__2038,0.00,0.00,0.00
OBRE-GUAY,19.__2039,0.00,0.00,0.00
OBRE-GUAY,20.__2040,0.00,0.00,0.00
OBRE-GUAY,21.__2041,0.00,0.00,0.00
OBR-MOCH,01.__2021,"1,350.00",0.00,0.02
OBR-MOCH,02.__2022,0.00,0.00,0.00
OBR-MOCH,03.__2023,0.00,0.00,0.00
OBR-MOCH,04.__2024,100.00,1.96,188.99
OBR-MOCH,05.__2025,0.00,0.00,0.00
OBR-MOCH,06.__2026,0.00,0.00,0.00
OBR-MOCH,07.__2027,0.00,0.00,0.00
OBR-MOCH,08.__2028,0.00,0.00,0.00
OBR-MOCH,09.__2029,0.00,0.00,0.00
OBR-MOCH,10.__2030,0.00,0.00,0.00
OBR-MOCH,11.__2031,0.00,0.00,0.00
OBR-MOCH,12.__2032,0.00,0.00,0.00
OBR-MOCH,13.__2033,0.00,0.00,0.00
OBR-MOCH,14.__2034,0.00,0.00,0.00
OBR-MOCH,15.__2035,0.00,0.00,0.00
OBR-MOCH,16.__2036,0.00,0.00,0.00
OBR-MOCH,17.__2037,0.00,0.00,0.00
OBR-MOCH,18.__2038,0.00,0.00,0.00
OBR-MOCH,19.__2039,0.00,0.00,0.00
OBR-MOCH,20.__2040,0.00,0.00,0.00
OBR-MOCH,21.__2041,0.00,0.00,0.00
PILV-CANC,01.__2021,0.00,0.00,0.00
PILV-CANC,02.__2022,0.00,0.00,0.00
PILV-CANC,03.__2023,0.00,0.00,0.00
PILV-CANC,04.__2024,330.00,0.00,0.00
PILV-CANC,05.__2025,0.00,0.00,0.00
PILV-CANC,06.__2026,0.00,0.00,0.00
PILV-CANC,07.__2027,0.00,0.00,0.00
PILV-CANC,08.__2028,0.00,0.00,0.00
PILV-CANC,09.__2029,0.00,0.00,0.00
PILV-CANC,10.__2030,0.00,0.00,0.00
PILV-CANC,11.__2031,0.00,0.00,0.00
PILV-CANC,12.__2032,0.00,0.00,0.00
PILV-CANC,13.__2033,0.00,0.00,0.00
PILV-CANC,14.__2034,0.00,0.00,0.00
PILV-CANC,15.__2035,0.00,0.00,0.00
PILV-CANC,16.__2036,0.00,0.00,0.00
PILV-CANC,17.__2037,0.00,0.00,0.00
PILV-CANC,18.__2038,0.00,0.00,0.00
PILV-CANC,19.__2039,0.00,0.00,0.00
PILV-CANC,20.__2040,0.00,0.00,0.00
PILV-CANC,21.__2041,0.00,0.00,0.00
PILV-PLYC,01.__2021,225.00,0.00,0.01
PILV-PLYC,02.__2022,0.00,0.00,0.00
PILV-PLYC,03.__2023,0.00,0.00,0.00
PILV-PLYC,04.__2024,-45.00,"1,000.00","10,000.00"
PILV-PLYC,05.__2025,0.00,0.00,0.00
PILV-PLYC,06.__2026,0.00,0.00,0.00
PILV-PLYC,07.__2027,0.00,0.00,0.00
PILV-PLYC,08.__2028,0.00,0.00,0.00
PILV-PLYC,09.__2029,0.00,0.00,0.00
PILV-PLYC,10.__2030,0.00,0.00,0.00
PILV-PLYC,11.__2031,0.00,0.00,0.00
